importer,exporter,rank,total_import_usd
SEVT,"SHENZHEN LINKCONN ELECTRONICS CO., LTD",2.0,2151110669.215601
SEVT,SHENZHEN WINKER SEIKO CO LTD,2.0,2151110669.215601
SEVT,"SHENZHEN WINKER SEIKO CO.,LTD",2.0,2151110669.215601
SEVT,"SHUYANG RUITAI TECHNOLOGY CO., LTD",2.0,2151110669.215601
SEVT,"TIANJIN J.M.C. ELECTRONICS CO.,LTD",2.0,2151110669.215601
SEVT,"TIANJIN WISOL ELECTRONICS CO.,LTD",2.0,2151110669.215601
SEVT,TIANMA MICRO-ELECTRONICS(HONG KONG) LIMITED,2.0,2151110669.215601
SEVT,TXC(NINGBO) CORPORATION,2.0,2151110669.215601
SEVT,"VITALINK TECHNOLOGY CO., LTD.",2.0,2151110669.215601
SEVT,"WINGTECH MOBILE COMMUNICATIONS CO.,LTD.",2.0,2151110669.215601
SEVT,WUHAN HUAGONG INTERNATIONAL DEVELOP,2.0,2151110669.215601
SEVT,WUHAN HUAGONG INTERNATIONAL DEVELOPMENT CO LTD,2.0,2151110669.215601
SEVT,"XIAN BYD ELECTRONIC CO., LTD.",2.0,2151110669.215601
SEVT,"ZHEJIANG DONGYANG DMEGC CHENGJI ELE CTRONICS CO.,LTD.",2.0,2151110669.215601
SEVT,"ZHEJIANG DONGYANG DMEGC CHENGJI ELECTRONICS CO.,LTD",2.0,2151110669.215601
FUKANG TECHNOLOGY COMPANY LIMITED,"3D MILLING CO.,LIMITED",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,AAC TECHNOLOGIES PTE. LTD.,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"ALEADER VISION TECHNOLOGY CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"AMPHENOL MOBILE CONNECTOR SOLUTIONS (CHANGZHOU) CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"APS SUPPLY CHAIN MANAGEMENT CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,ARROW ELECTRONICS CHINA LIMITED,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"ASIA VITAL COMPONENTS CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"ATE TECHNOLOGY CO.,LIMITED",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"AVNET ASIA PTE LTD., TAIWAN BRANCH",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"AVNET ASIA PTE LTD.,TAIWAN BRANCH",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"BAOTOU INST MAGNETIC NEW MATERIALS CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,BEST EVER INDUSTRIES LIMITED TAIWAN BRANCH,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,BIEL CRYSTAL (HK) MANUFACTORY LIMITED,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,BIEL CRYSTAL(HK) MANUFACTORY LIMITED,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"BOYD DIE CUT (WUXI) CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"BOZHON PRECISION INDUSTRY TECHNOLOGY CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"BOZHON PRECISION INDUSTRY TECHNOLOGY CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"BOZHONG PRECISION ENGINEERING TECHNOLOGY CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CAREER TECHNOLOGY (MFG.) CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,CASETEK SINGAPORE PTE. LTD.,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CATCHER TECHNOLOGY(SUQIAN) CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,CATCHER TECHNOLOGY(SUQIAN)CO.LTD,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CCL DESIGN(SUZHOU) CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CENCORP(ZHUHAI) INDUSTRIAL TECHNOLOGY CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHENG UEI PRECISION INDUSTRY CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHENG UEI PRECISION INDUSTRY CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHENGDU CHENYE TECHNOLOGY CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHENGDU HOMIN TECHNOLOGY CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHENGDU HOMIN TECHNOLOGY CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHENGDU INNOREV INDUSTRIAL CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHENGDU WEIJIANSHENG INDUSTRIAL CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHENGDU XIANGQUAN PRECISION TECHNOLOGY CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHENGDU XINZHENG ENVIRONMENTAL PROTECTION TECHNOLOGY CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHENGDU XIWANG TECHNOLOGY CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHENGDU YOUJUNHE TECHNOLOGY CO. , LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHENGDU YUTO PRINTING CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHENGDU ZHOUJIA PACKAGING CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHONGQING HUASHU ROBOTICS CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHONGQING PAISHING TECHNOLOGY CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHONGQING PAISHING TECHNOLOGYCO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CHONGQING YINGCHANG ELECTRONIC TECHNOLOGY CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,CHUNG MING INTERNATIONAL LIMITED TAIWAN BRANCH,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"COMPEQ MANUFACTURING CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"COMPEQ MANUFACTURING CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,COWELL OPTIC ELECTRONICS LTD,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CYMMETRIK (SHENZHEN) PRINTING CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"CYNTEC ELECTRONICS (WUHU) CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,DELTA ELECTRONICS INC,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,DELTA ELECTRONICS INT'L (SINGAPORE) PTE. LTD.,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"DONG GUAN CITY JINYAO EXACTITUDE EQUIPMENT CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"DONG GUAN GREAT GOLD SCREWS CO ., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"DONG GUAN GREAT GOLD SCREWS CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,DONGGUAN EUNOW COMPANY LIMITED,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"DONGGUAN GUOHAO ELECTRONIC EQUIPMENT CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"DONGGUAN GUOHAO ELECTRONIC EQUIPMENT CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,DONGGUAN ITM-LAB MACHINE INC,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,DONGGUAN KAICHENG ECO-TECH COMPANY LIMITED,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"DONGGUAN KEJI MACHINERY CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"DONGGUAN KJ MACHINERY CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"DONGGUAN MAGICRAY MACHINE VISION TECHNOLOGY CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"DONGGUAN MAGICRAY MACHINE VISION TECHNOLOGY CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"DONGGUAN SHENGDING PRECISION INSTRUMENT CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,DONGGUAN SINDIN PRECISION INSTRUMENT CO. LTD.,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,DONGGUAN WEITAI ELECTRONICS CO LTD,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,DONGGUAN WINSUN MACHINERY TECHNOLOGY LIMITED,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"DONGGUAN WORLD PRECISION MANUFACTURE CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"DONGGUAN WORLD PRECISION TECHNOLOGY CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"DONGGUAN YIXIE AUTOMATION EQUIPMENT CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"EPOCH INTERNATIONAL ENTERPRISES, INC.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"EVLITE ELECTRONICS CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FINE BOTH TRADING (WUXI) CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,FLEXIUM INTERCONNECT (KUNSHAN) INC.,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FLEXIUM INTERCONNECT(KUNSHAN),INC.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FLEXIUM INTERCONNECT, INC.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,FORTUNEBAY TECHNOLOGY PTE. LTD.,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,FOUR SEA INTERNATIONAL TRADING CO.,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,FOXCONN INTERCONNECT TECHNOLOGY LIMITED TAIWAN BRANCH,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,FOXCONN SINGAPORE PTE LTD,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,FOXCONN SINGAPORE PTE LTD.,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FOXCONN TECHNOLOGY CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FOXCONN TECHNOLOGY CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FOXCONN TECHNOLOGY GROUP CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FRD SCIENCE& TECHNOLOGY (JIANGSU)CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,FRONTEK TECHNOLOGY CORPORATION,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,FRONTEK TECHNOLOGY CORPORATION  factroy,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,FRONTEK TECHNOLOGY CORPORATION  l.td),3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,FRONTEK TECHNOLOGY CORPORATIONLTD. ),3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,FRONTEK TECHNOLOGY CORPORATIONLmtid.,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,FRONTEK TECHNOLOGY CORPORATIONfactoyr  ..,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FUDING ELECTRONICAL TECHNOLOGY (JIASHAN) CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FUDING ELECTRONICAL TECHNOLOGY (JIASHAN) CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,FUJIKURA HONG KONG LIMITED TAIWAN BRANCH,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FUTAIHUA INDUSTRIAL (SHENZHEN) CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FUTAIHUA INDUSTRIAL (SHENZHEN) CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FUTAIHUA INDUSTRIAL (SHENZHEN) CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FUTAIHUA INDUSTRIAL (SHENZHEN)CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FUTAIHUA INDUSTRY (SHENZHEN) CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FUTAIHUA PRECISION ELECTRONICS (CHENGDU) CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FUXIANG PRECISION INDUSTRIAL (KUNSHAN) CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FUXIANG PRECISION INDUSTRIAL(KUNSHAN)CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FUXIANG PRECISION INDUSTRIAL(KUNSHAN)CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"FUZHUN PRECISION TOOLING (JIASHAN) CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,GARUDA INTERNATIONAL LIMITED,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"GKG PRECISION MACHINE CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"GKG PRECISION MACHINE CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"GOERTEK(HONGKONG)CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,GREEN TECH SOLUTION CO.LTD,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,GREEN TECH SOLUTION CO.LTD.,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"GUANG DONG WORLD PRECISION TECHNOLOGY CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"GUANGDEZHUCHANG ELECTRONICS TECHNOLOGY CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"GUANGDONG ANDA AUTOMATION SOLUTIONS CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"GUANGDONG FA TEST ACCESSORIES TECHNOLOGY CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"GUANGDONG FORBETTER NEW MATERIAL SOLUTION CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"GUANGDONG FORBETTER NEW MATERIAL SOLUTION CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"GUANGDONG FORBETTER NEW MATERIAL SOLUTION  CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"GUANGDONG TOPSTAR TECHNOLOGY CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"GUANGDONG WORLD PRECISION TECHNOLOGY CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HAMA NAKA MOTOGAWA METAL PRODUCT CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HAMA NAKA MOTOGAWA METAL PRODUCT(KUNSHAN)CO ., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HAN'S LASER TECHNOLOGY INDUSTRY GROUP CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HANGZHOU AMPHENOL PHOENIX TELECOM PARTS CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HANGZHOU AMPHENOL PHOENIX TELECOM PARTS CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HANGZHOU AMPHENOL PHOENIXTELECOM PARTS CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HANGZHOU RIZHISHENG DECONTAMINATION EQUIPMENT CO,.LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HANGZHOUAMPHENOLPHOENIXTELECOMPARTSCO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HANS LASER TECHNOLOGY INDUSTRY GROUP CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HENAN FUCHI TECHNOLOGY CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HENAN JIUMUYUN TECHNOLOGY CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HEXAGON MANUFACTURING INTELLIGENCE (QINGDAO) CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HI-P (SHANGHAI) HOUSING APPLIANCE CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HI-P (SHANGHAI) HOUSING APPLIANCE CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HK SHINDY TECHNOLOGY CO., LIMITED",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HON HAI PRECISION INDUSTRY CO, LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HON HAI PRECISION INDUSTRY CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HON HAI PRECISION INDUSTRY CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HON HAI PRECISION INDUSTRY CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,HON HAI PRECISION INDUSTRY CO.LTD,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,HONG FUJIN PRECISION INDUSTRY(CHENGDU) CO.LTD,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HONGFUCHENG PRECISION ELECTRONICS(CHENGDU) CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HONGFUJIN PRECISION ELECTRONICS (CHENGDU) CO., LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HONGFUJIN PRECISION ELECTRONICS (CHENGDU) CO., LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HONGFUJIN PRECISION ELECTRONICS CHENGDU CO,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HONGFUJIN PRECISION ELECTRONICS(CHENG DU)CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HONGFUJIN PRECISION ELECTRONICS(CHENGDU) CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HONGFUJIN PRECISION ELECTRONICS(CHENGDU)CO.,LTD",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,HONGFUJIN PRECISION INDUSTRY (CHENGDU) CO. LTD.,3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,"HONGFUJIN PRECISION INDUSTRY(CHENGDU) CO.,LTD.",3.0,2011163831.539801
FUKANG TECHNOLOGY COMPANY LIMITED,HONGKONG FOXPORT TECHNOLOGY COMPANY LIMITED,3.0,2011163831.539801
